,Studio,Type,City,State/Province,Country
240,Blizzard Entertainment, Developer,Sao Paulo,Sao Paulo,Brazil
241,Cat Nigiri, Mobile,Florianopolis,Santa Catarina,Brazil
242,Cat Nigiri, Developer,Florianopolis,Santa Catarina,Brazil
243,Connect2Media, Mobile,Sao Paulo,Sao Paulo,Brazil
244,Disney Interactive Studios Latin America, Publisher,Sao Paulo,Sao Paulo,Brazil
245,Electronic Arts Brazil, Publisher,Sao Paulo,Sao Paulo,Brazil
246,Gamebau, Mobile,Rio de Janeiro,Rio de Janeiro,Brazil
247,GameBlox Interactive, Developer,Sao Paulo,Sao Paulo,Brazil
248,Gameloft, Mobile,Sao Paulo,Sao Paulo,Brazil
249,Gazeus Games, Online,Rio de Janeiro,Rio de Janeiro,Brazil
250,Hexa Game Studios, Online,Sao Paulo,Sao Paulo,Brazil
251,Hoplon, Online,Florianopolis,Santa Catarina,Brazil
252,Icon Games, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
253,igda Campinas Chapter, Organization,Campinas,Sao Paulo,Brazil
254,igda Curitiba Chapter, Organization,Curitiba,Parana,Brazil
255,igda Recife Chapter, Organization,Recife,Pernambuco,Brazil
256,igda Rio de Janiero, Organization,Rio de Janeiro,Rio de Janeiro,Brazil
257,igda Sorocaba Chapter, Organization,Sorocaba,Sao Paulo,Brazil
258,iMAX Games, Developer,Sao Carlos,Sao Paulo,Brazil
259,IMGNATION Studios, Virtual Reality,Santa Maria,Rio Grande do Sul,Brazil
260,Insolita Studios, Developer,Sao Paulo,Sao Paulo,Brazil
261,Interama, Developer,Campinas,Sao Paulo,Brazil
262,Interama, Developer,Vitoria,Espírito Santo,Brazil
263,Izyplay Game Studio, Developer,Pelotas,Rio Grande do Sul,Brazil
264,Joy Street, Serious Games,Recife,Pernambuco,Brazil
265,JoyMasher, Developer,Curitiba,Parana,Brazil
266,Jynx Playware, Developer,Recife,Pernambuco,Brazil
267,Kuupu, Developer,Porto Alegre,Rio Grande do Sul,Brazil
268,Latam Video Games Federation, Organization,Sao Paulo,Sao Paulo,Brazil
269,Long Hat House, Mobile,Belo Horizonte,Minas Gerais,Brazil
270,Manifesto Games, Developer,Recife,Pernambuco,Brazil
271,Manifesto Games, Developer,Sao Paulo,Sao Paulo,Brazil
272,Mukutu, Developer,Santos,Sao Paulo,Brazil
273,O2 Games, Developer,Belo Horizonte,Minas Gerais,Brazil
274,Odin Game Studios, Developer,Sao Paulo,Sao Paulo,Brazil
275,Oniria, Developer,Londrina,Parana,Brazil
276,Overtime Studios, Developer,Sao Paulo,Sao Paulo,Brazil
277,Perceptum, Developer,Santo André,Sao Paulo,Brazil
278,Pushstart Studios, Developer,Sao Paulo,Sao Paulo,Brazil
279,Red Cerberus, Developer,Sao Paulo,Sao Paulo,Brazil
280,Riot Games, Online,Sao Paulo,Sao Paulo,Brazil
281,Rogue Snail, Developer,Belo Horizonte,Minas Gerais,Brazil
282,Sioux, Developer,Sao Paulo,Sao Paulo,Brazil
283,Smyowl, Developer,Sorocaba,Sao Paulo,Brazil
284,Studio Pixel Punk, Developer,Santo Andre,Sao Paulo,Brazil
285,Supertype, Developer,Florianopolis,Santa Catarina,Brazil
286,Tapps Games, Developer,Sao Paulo,Sao Paulo,Brazil
287,TechFront, Developer,Curitiba,Parana,Brazil
288,TechFront, Developer,Florianopolis,Santa Catarina,Brazil
289,Tectoy Studios, Mobile,Campinas,Sao Paulo,Brazil
290,Ubisoft Sao Paulo, Developer and Publisher,Sao Paulo,Sao Paulo,Brazil
291,Vertice Games, Developer,Sao Paulo,Sao Paulo,Brazil
292,VRMonkey, Virtual Reality,Sao Paulo,Sao Paulo,Brazil
293,Webcore Games, Online,Sao Paulo,Sao Paulo,Brazil
294,Zwift, Developer,Rio de Janeiro,Rio de Janeiro,Brazil
295,Creative Assembly Sofia, Developer,Sofia,Sofia,Bulgaria
296,Dreamtek, Developer,Sofia,Sofia,Bulgaria
297,Gameloft, Mobile,Sofia,Sofia,Bulgaria
298,Haemimont Games, Developer,Sofia,Sofia,Bulgaria
299,Imperia Online, Online,Sofia,Sofia,Bulgaria
300,Masthead Studios, Developer,Sofia,Sofia,Bulgaria
301,morgen studios, Developer,Sofia,Sofia,Bulgaria
